case_id,status,score,rejection_reason,depth_eV,min_freq_hz,max_freq_hz,mode_spread_hz,center_offset_m,physical_min_ok,hessian_status,grad_rel_at_r0,mesh_path,case_dir,report_path,stderr_path,stdout_path,error_message,elapsed_s,param_lc_electrode,param_lc_center,param_lc_far,param_pad_z_top,paper_verdict,paper_summary
case_0000,ok,4.663273660101214,,0.5766080413509614,1780233.4533464068,3044407.599204576,1264174.1458581693,0.0006047327286398991,True,valid,0.0908166210105857,/Users/michaelee408/Documents/trap_sim/sweep_3junc/case_0000/mesh.msh,sweep_3junc/case_0000,sweep_3junc/case_0000/auto_case_0000_sweep.json,sweep_3junc/case_0000/run_case.stderr.txt,sweep_3junc/case_0000/run_case.stdout.txt,,1545.5930109024048,0.003640415835413255,0.006638628715886626,0.04798603996543502,0.5263198373948195,worse,trap_height=71.79µm (-12.8% vs paper); strong_freq_min=1.780233MHz (-55.5% vs paper)
case_0001,ok,3.6290066698161487,,0.4755267328748828,1251373.0054417348,3995449.5474727065,2744076.5420309715,0.0006080626622098479,True,valid,0.3415410495625893,/Users/michaelee408/Documents/trap_sim/sweep_3junc/case_0001/mesh.msh,sweep_3junc/case_0001,sweep_3junc/case_0001/auto_case_0001_sweep.json,sweep_3junc/case_0001/run_case.stderr.txt,sweep_3junc/case_0001/run_case.stdout.txt,,1573.9503338336945,0.004680591793075738,0.005070593162427693,0.030527940046974324,0.6958016936761682,worse,trap_height=68.12µm (-17.2% vs paper); strong_freq_min=1.251373MHz (-68.7% vs paper)
case_0002,ok,3.1069492872238627,,0.3290745054348162,1461576.7600497818,2976758.3293346623,1515181.5692848805,0.0005958682901492106,True,valid,0.08432316018210301,/Users/michaelee408/Documents/trap_sim/sweep_3junc/case_0002/mesh.msh,sweep_3junc/case_0002,sweep_3junc/case_0002/auto_case_0002_sweep.json,sweep_3junc/case_0002/run_case.stderr.txt,sweep_3junc/case_0002/run_case.stdout.txt,,2464.5430488586426,0.003217853244146025,0.006238957941734388,0.03649891825429352,0.45073352735834027,worse,trap_height=70.43µm (-14.4% vs paper); strong_freq_min=1.461577MHz (-63.5% vs paper)
