direction,step,x_mesh,y_mesh,z_mesh,x_m,y_m,z_m,psi_J,psi_eV,psi_meV
fwd,0,0.29075591061190137,0.0006157342167060762,0.08188639793477817,0.0002907559106119014,6.157342167060762e-07,8.188639793477817e-05,5.1635210094245465e-34,0.0001163436692837365,0.1163436692837365
fwd,1,0.2970456209045407,0.0006157342167060762,0.08188639793477817,0.0002970456209045407,6.157342167060762e-07,8.188639793477817e-05,5.9742058254775934e-34,0.00013460989613941726,0.13460989613941726
fwd,2,0.30333533119718,0.0006157342167060762,0.08188639793477817,0.00030333533119718,6.157342167060762e-07,8.188639793477817e-05,3.00092757924047e-34,6.761644335064057e-05,0.06761644335064057
fwd,3,0.30962504148981923,0.0006157342167060762,0.08188639793477817,0.00030962504148981923,6.157342167060762e-07,8.188639793477817e-05,3.7660537939071732e-34,8.485615073578021e-05,0.0848561507357802
fwd,4,0.31591475178245854,0.0006157342167060762,0.08188639793477817,0.00031591475178245854,6.157342167060762e-07,8.188639793477817e-05,2.0300186594851258e-33,0.0004574007138304892,0.4574007138304892
fwd,5,0.32220446207509784,0.0006157342167060762,0.08188639793477817,0.00032220446207509784,6.157342167060762e-07,8.188639793477817e-05,2.841466893905238e-33,0.0006402349946515267,0.6402349946515267
fwd,6,0.32849417236773715,0.0006157342167060762,0.08188639793477817,0.00032849417236773714,6.157342167060762e-07,8.188639793477817e-05,2.3378063288055832e-33,0.0005267509629021437,0.5267509629021437
fwd,7,0.33478388266037645,0.0006157342167060762,0.08188639793477817,0.00033478388266037644,6.157342167060762e-07,8.188639793477817e-05,2.938568976846655e-33,0.0006621138881505137,0.6621138881505138
fwd,8,0.3410735929530157,0.0006157342167060762,0.08188639793477817,0.0003410735929530157,6.157342167060762e-07,8.188639793477817e-05,2.3703671870108313e-33,0.0005340875259019101,0.5340875259019101
fwd,9,0.347363303245655,0.0006157342167060762,0.08188639793477817,0.00034736330324565504,6.157342167060762e-07,8.188639793477817e-05,2.488114656374583e-33,0.0005606182064387943,0.5606182064387942
fwd,10,0.3536530135382943,0.0006157342167060762,0.08188639793477817,0.00035365301353829434,6.157342167060762e-07,8.188639793477817e-05,2.409279579129543e-33,0.0005428552068534069,0.5428552068534068
fwd,11,0.3599427238309336,0.0006157342167060762,0.08188639793477817,0.00035994272383093364,6.157342167060762e-07,8.188639793477817e-05,2.0408110829264094e-33,0.00045983244624976465,0.45983244624976466
fwd,12,0.36623243412357287,0.0006157342167060762,0.08188639793477817,0.0003662324341235729,6.157342167060762e-07,8.188639793477817e-05,1.8813181486785812e-33,0.0004238957411189957,0.4238957411189957
fwd,13,0.3725221444162122,0.0006157342167060762,0.08188639793477817,0.0003725221444162122,6.157342167060762e-07,8.188639793477817e-05,3.8311630701958693e-33,0.0008632318303680298,0.8632318303680298
fwd,14,0.3788118547088515,0.0006157342167060762,0.08188639793477817,0.0003788118547088515,6.157342167060762e-07,8.188639793477817e-05,1.5319651576010508e-33,0.00034518005702858064,0.3451800570285806
fwd,15,0.3851015650014908,0.0006157342167060762,0.08188639793477817,0.0003851015650014908,6.157342167060762e-07,8.188639793477817e-05,4.769004213560258e-33,0.0010745447690103146,1.0745447690103147
fwd,16,0.3913912752941301,0.0006157342167060762,0.08188639793477817,0.0003913912752941301,6.157342167060762e-07,8.188639793477817e-05,6.659884865538882e-33,0.0015005951188148063,1.5005951188148063
fwd,17,0.39768098558676934,0.0006157342167060762,0.08188639793477817,0.00039768098558676934,6.157342167060762e-07,8.188639793477817e-05,9.09031379013815e-33,0.002048215663991435,2.048215663991435
fwd,18,0.40397069587940865,0.0006157342167060762,0.08188639793477817,0.00040397069587940864,6.157342167060762e-07,8.188639793477817e-05,8.193310905964362e-33,0.001846104339737322,1.846104339737322
fwd,19,0.41026040617204795,0.0006157342167060762,0.08188639793477817,0.00041026040617204795,6.157342167060762e-07,8.188639793477817e-05,1.2146753493601178e-33,0.00027368880048153453,0.27368880048153454
fwd,20,0.41655011646468726,0.0006157342167060762,0.08188639793477817,0.00041655011646468725,6.157342167060762e-07,8.188639793477817e-05,1.0656829580815954e-32,0.0024011806170645723,2.4011806170645724
fwd,21,0.42283982675732656,0.0006157342167060762,0.08188639793477817,0.00042283982675732655,6.157342167060762e-07,8.188639793477817e-05,1.300475121558426e-32,0.002930210745306574,2.930210745306574
fwd,22,0.4291295370499658,0.0006157342167060762,0.08188639793477817,0.00042912953704996585,6.157342167060762e-07,8.188639793477817e-05,1.5643255116782182e-32,0.0035247144274345773,3.5247144274345774
