x_m,y_m,z_m,phi_pp_eV,total_conf_eV_per_m2,trap_height_um,path_type
0.00044407861039255533,0.0,8.37123745819398e-05,0.002454805,606101365.37,83.7124,minimum
0.00044667730021934605,0.0,8.307692307692307e-05,0.00218811,634731477.604,83.0769,minimum
0.0004492759900461368,0.0,8.307692307692307e-05,0.001925823,458379744.077,83.0769,minimum
0.00045187467987292755,0.0,8.307692307692307e-05,0.001683737,458379744.077,83.0769,minimum
0.0004544733696997183,0.0,8.307692307692307e-05,0.001461852,458379744.077,83.0769,minimum
0.00045707205952650904,0.0,8.307692307692307e-05,0.001260168,458379744.077,83.0769,minimum
0.00045967074935329976,0.0,8.307692307692307e-05,0.001078684,1535177873.863,83.0769,minimum
0.0004622694391800906,0.0,7.926421404682274e-05,0.003041643,2230041705.639,79.2642,minimum
0.00046486812900688125,0.0,7.862876254180602e-05,0.001239302,4721157766.071,78.6288,minimum
0.000467466818833672,0.0,7.926421404682274e-05,0.001204603,2135779784.302,79.2642,minimum
0.0004700655086604628,0.0,7.926421404682274e-05,0.001268506,331366593.306,79.2642,minimum
0.0004726641984872535,0.0,7.862876254180602e-05,0.001319481,331366593.306,78.6288,minimum
0.0004752628883140443,0.0,7.862876254180602e-05,0.001383011,369312206.964,78.6288,minimum
0.00047786157814083495,0.0,7.735785953177258e-05,0.001294588,318702992.38,77.3579,minimum
0.0004804602679676258,0.0,7.735785953177258e-05,0.001059101,318702992.38,77.3579,minimum
0.0004830589577944165,0.0,7.672240802675586e-05,0.000854623,318702992.38,76.7224,minimum
0.0004856576476212072,0.0,7.608695652173912e-05,0.000691806,318702992.38,76.087,minimum
0.000488256337447998,0.0,7.54515050167224e-05,0.000570652,318702992.38,75.4515,minimum
0.0004908550272747887,0.0,7.481605351170568e-05,0.00049116,318702992.38,74.8161,minimum
0.0004934537171015795,0.0,7.418060200668896e-05,0.000453331,318702992.38,74.1806,minimum
0.0004960524069283702,0.0,7.418060200668896e-05,0.000453371,318702992.38,74.1806,minimum
0.000498651096755161,0.0,7.354515050167224e-05,0.000486181,318702992.38,73.5452,minimum
0.0005012497865819516,0.0,7.290969899665552e-05,0.000560653,318702992.38,72.9097,minimum
0.0005038484764087424,0.0,7.22742474916388e-05,0.000676787,239612181.85,72.2742,minimum
0.0005064471662355332,0.0,7.100334448160535e-05,0.000369282,3960063792.102,71.0033,minimum
0.0005090458560623239,0.0,7.163879598662208e-05,0.000448791,2777393668.181,71.6388,minimum
0.0005116445458891147,0.0,7.290969899665552e-05,0.001116367,1448986465.31,72.9097,minimum
0.0005142432357159055,0.0,7.354515050167224e-05,0.001892042,467871170.696,73.5452,minimum
0.0005168419255426962,0.0,6.973244147157191e-05,0.001904626,1289390344.11,69.7324,minimum
0.000519440615369487,0.0,7.290969899665552e-05,0.001684385,2868063248.577,72.9097,minimum
0.0005220393051962776,0.0,6.846153846153847e-05,0.002830995,-470751244.197,68.4615,minimum
0.0005246379950230684,0.0,6.909698996655519e-05,0.000924273,1277078953.744,69.097,minimum
0.000527236684849859,0.0,6.782608695652175e-05,0.001318369,898792289.634,67.8261,minimum
0.0005298353746766499,0.0,6.719063545150501e-05,0.001931359,1135650451.608,67.1906,minimum
0.0005324340645034407,0.0,6.655518394648829e-05,0.002793846,1135650451.608,66.5552,minimum
0.0005350327543302314,0.0,6.528428093645485e-05,0.003891199,1135650451.608,65.2843,minimum
0.0005376314441570221,0.0,6.464882943143813e-05,0.005210341,1427866202.567,64.6488,minimum
0.0005402301339838129,0.0,6.528428093645485e-05,0.00754506,930676168.053,65.2843,minimum
0.0005428288238106036,0.0,6.274247491638796e-05,0.007862993,1443245582.694,62.7425,minimum
0.0005454275136373942,0.0,6.08361204013378e-05,0.008195825,1443245582.694,60.8361,minimum
0.0005480262034641852,0.0,5.829431438127091e-05,0.008537846,1443245582.694,58.2943,minimum
0.0005506248932909759,0.0,5.638795986622074e-05,0.00887668,3903513882.147,56.388,minimum
0.0005532235831177666,0.0,5.193979933110368e-05,0.010146399,8422353563.068,51.9398,minimum
0.0005558222729445573,0.0,4.749163879598663e-05,0.010680176,11015941086.523,47.4916,minimum
0.0005584209627713481,0.0,4.5585284280936456e-05,0.011044671,8507992717.304,45.5853,minimum
0.0005610196525981388,0.0,4.367892976588629e-05,0.011559409,9068214186.233,43.6789,minimum
0.0005636183424249296,0.0,4.177257525083612e-05,0.012224392,9080166809.951,41.7726,minimum
0.0005662170322517204,0.0,4.5585284280936456e-05,0.00833146,3155521094.877,45.5853,minimum
0.0005688157220785111,0.0,4.4314381270903016e-05,0.006771118,760724433.89,44.3144,minimum
0.0005714144119053018,0.0,3.033444816053512e-05,0.005044874,34623531023.006,30.3344,minimum
0.0005740131017320925,0.0,2.9698996655518395e-05,0.003289018,22603734207.617,29.699,minimum
0.0005766117915588833,0.0,4.050167224080268e-05,0.004160407,760724433.89,40.5017,minimum
0.000579210481385674,0.0,3.986622073578595e-05,0.003977687,760724433.89,39.8662,minimum
0.0005818091712124648,0.0,3.986622073578595e-05,0.004380078,6603125902.763,39.8662,minimum
0.0005844078610392556,0.0,4.240802675585285e-05,0.008923794,2848888745.942,42.408,minimum
0.0005870065508660463,0.0,4.4949832775919736e-05,0.008528681,10676904466.936,44.9498,minimum
0.0005896052406928371,0.0,4.367892976588629e-05,0.005017357,10834316100.416,43.6789,minimum
0.0005922039305196278,0.0,4.177257525083612e-05,0.002966285,4189359827.818,41.7726,minimum
0.0005948026203464185,0.0,3.605351170568562e-05,0.00040676,19963230568.53,36.0535,minimum
0.0005974013101732092,0.0,4.050167224080268e-05,0.004368025,2189102331.708,40.5017,minimum
0.0006,0.0,3.923076923076924e-05,0.000298024,8241656875.585,39.2308,minimum
