x_m,y_m,z_m,phi_pp_eV,total_conf_eV_per_m2,trap_height_um,path_type,ctc_crossing_side,no_exact_ctc_crossing
0.00042848647143181086,0.0,0.00010316787025893646,0.054987322,750000000.0,103.1679,ctc,outer,False
0.0004310851612586016,0.0,0.00011768454047542161,0.110919135,750000000.0,117.6845,ctc,outer,False
0.00043368385108539235,0.0,0.00011699232397287016,0.111048776,750000000.0,116.9923,ctc,outer,False
0.0004362825409121831,0.0,0.0001138327988473125,0.101053914,750000000.0,113.8328,ctc,outer,False
0.0004388812307389738,0.0,0.00011129861504147446,0.093408878,750000000.0,111.2986,ctc,outer,False
0.00044147992056576456,0.0,0.00011074417499438099,0.096321609,750000000.0,110.7442,ctc,outer,False
0.00044407861039255533,0.0,0.0001080275014080438,0.086742473,750000000.0,108.0275,ctc,outer,False
0.00044667730021934605,0.0,0.00010613032789863209,0.076982554,750000000.0,106.1303,ctc,outer,False
0.0004492759900461368,0.0,0.00010314312887652555,0.062594162,750000000.0,103.1431,ctc,outer,False
0.00045187467987292755,0.0,0.00010451715621304757,0.074084899,750000000.0,104.5172,ctc,outer,False
0.0004544733696997183,0.0,0.00010305603925888843,0.071039038,750000000.0,103.056,ctc,outer,False
0.00045707205952650904,0.0,0.00010717985927613738,0.088740401,750000000.0,107.1799,ctc,outer,False
0.00045967074935329976,0.0,0.00010718715628653878,0.088372295,750000000.0,107.1872,ctc,outer,False
0.0004622694391800906,0.0,0.00010719514344222571,0.088009564,750000000.0,107.1951,ctc,outer,False
0.00046486812900688125,0.0,0.00010720392379145671,0.087652505,750000000.0,107.2039,ctc,outer,False
0.000467466818833672,0.0,0.00010721362197630982,0.087301477,750000000.0,107.2136,ctc,outer,False
0.0004700655086604628,0.0,0.00010722703949951211,0.086967673,750000000.0,107.227,ctc,outer,False
0.0004726641984872535,0.0,0.00010702260430684281,0.08900553,750000000.0,107.0226,ctc,outer,False
0.0004752628883140443,0.0,0.00010702886584388707,0.088565674,750000000.0,107.0289,ctc,outer,False
0.00047786157814083495,0.0,0.00010699775592728879,0.088492601,750000000.0,106.9978,ctc,outer,False
0.0004804602679676258,0.0,0.0001071274649424025,0.086989229,750000000.0,107.1275,ctc,outer,False
0.0004830589577944165,0.0,0.00010815768326890587,0.084737433,750000000.0,108.1577,ctc,outer,False
0.0004856576476212072,0.0,0.00010838003350979463,0.083305887,750000000.0,108.38,ctc,outer,False
0.000488256337447998,0.0,0.0001094483554428845,0.081960165,750000000.0,109.4484,ctc,outer,False
0.0004908550272747887,0.0,0.00010878476587534517,0.07444882,750000000.0,108.7848,ctc,outer,False
0.0004934537171015795,0.0,0.00010852401010582032,0.07040762,750000000.0,108.524,ctc,outer,False
0.0004960524069283702,0.0,0.00011006666802081218,0.08694174,750000000.0,110.0667,ctc,outer,False
0.000498651096755161,0.0,0.00010881007290545962,0.083713897,750000000.0,108.8101,ctc,outer,False
0.0005012497865819516,0.0,0.00010690359195161959,0.079987819,750000000.0,106.9036,ctc,outer,False
0.0005038484764087424,0.0,0.00010499710376574288,0.07635003,750000000.0,104.9971,ctc,outer,False
0.0005064471662355332,0.0,0.00010376323677479059,0.075673689,750000000.0,103.7632,ctc,outer,False
0.0005090458560623239,0.0,0.00010190365199242561,0.074145502,750000000.0,101.9037,ctc,outer,False
0.0005116445458891147,0.0,0.00010065638337525665,0.07281798,750000000.0,100.6564,ctc,outer,False
0.0005142432357159055,0.0,0.00010074138497015755,0.080047885,750000000.0,100.7414,ctc,outer,False
0.0005168419255426962,0.0,9.953763051674317e-05,0.078204626,750000000.0,99.5376,ctc,outer,False
0.000519440615369487,0.0,9.884975425825414e-05,0.077440394,750000000.0,98.8498,ctc,outer,False
0.0005220393051962776,0.0,9.791973847754632e-05,0.076185966,750000000.0,97.9197,ctc,outer,False
0.0005246379950230684,0.0,9.661947510568424e-05,0.074194622,750000000.0,96.6195,ctc,outer,False
0.000527236684849859,0.0,9.531547019079681e-05,0.07222244,750000000.0,95.3155,ctc,outer,False
0.0005298353746766499,0.0,9.400699103155355e-05,0.070268274,750000000.0,94.007,ctc,outer,False
0.0005324340645034407,0.0,9.356965519711214e-05,0.070034312,750000000.0,93.5697,ctc,outer,False
0.0005350327543302314,0.0,9.228128556304002e-05,0.068149519,750000000.0,92.2813,ctc,outer,False
0.0005376314441570221,0.0,9.132597883460592e-05,0.066924394,750000000.0,91.326,ctc,outer,False
0.0005402301339838129,0.0,9.114692956987553e-05,0.069329991,750000000.0,91.1469,ctc,outer,False
0.0005428288238106036,0.0,8.984326792957328e-05,0.065368986,750000000.0,89.8433,ctc,outer,False
0.0005454275136373942,0.0,8.962776931615752e-05,0.05840275,750000000.0,89.6278,ctc,outer,False
0.0005480262034641852,0.0,8.923537876622887e-05,0.057739907,750000000.0,89.2354,ctc,outer,False
0.0005506248932909759,0.0,8.954671679401063e-05,0.05970352,750000000.0,89.5467,ctc,outer,False
0.0005532235831177666,0.0,9.082072643436027e-05,0.062780202,750000000.0,90.8207,ctc,outer,False
0.0005558222729445573,0.0,9.209518486802329e-05,0.06594097,750000000.0,92.0952,ctc,outer,False
0.0005584209627713481,0.0,9.273786918281953e-05,0.068445941,750000000.0,92.7379,ctc,outer,False
0.0005610196525981388,0.0,9.40136939997056e-05,0.071757997,750000000.0,94.0137,ctc,outer,False
0.0005636183424249296,0.0,9.529027216963036e-05,0.075154646,750000000.0,95.2903,ctc,outer,False
0.0005662170322517204,0.0,9.593658971886789e-05,0.077849804,750000000.0,95.9366,ctc,outer,False
0.0005688157220785111,0.0,9.721564063618223e-05,0.081399512,750000000.0,97.2156,ctc,outer,False
0.0005714144119053018,0.0,9.849615062567777e-05,0.085034965,750000000.0,98.4962,ctc,outer,False
0.0005740131017320925,0.0,9.914958502373362e-05,0.087925667,750000000.0,99.1496,ctc,outer,False
0.0005766117915588833,0.0,0.00010048520698721613,0.091785761,750000000.0,100.4852,ctc,outer,False
0.000579210481385674,0.0,0.0001007788776934004,0.092818688,750000000.0,100.7789,ctc,outer,False
0.0005818091712124648,0.0,9.986612173318786e-05,0.092254561,750000000.0,99.8661,ctc,outer,False
0.0005844078610392556,0.0,9.661248137569849e-05,0.085902459,750000000.0,96.6125,ctc,outer,False
0.0005870065508660463,0.0,9.418844078089701e-05,0.0821332,750000000.0,94.1884,ctc,outer,False
0.0005896052406928371,0.0,9.094207812259762e-05,0.076258373,750000000.0,90.9421,ctc,outer,False
0.0005922039305196278,0.0,8.767612390506063e-05,0.070595711,750000000.0,87.6761,ctc,outer,False
0.0005948026203464185,0.0,8.542092656731776e-05,0.067855373,750000000.0,85.4209,ctc,outer,False
0.0005974013101732092,0.0,8.451869065232874e-05,0.066799265,750000000.0,84.5187,ctc,outer,False
0.0006,0.0,8.471712498269731e-05,0.066943233,750000000.0,84.7171,ctc,outer,False
